season,round,fixture_id,kickoff_utc,home_id,away_id,home_score,away_score,teamsheet_status,model,p_away_31_plus,p_away_21_30,p_away_16_20,p_away_11_15,p_away_6_10,p_away_1_5,p_draw,p_home_1_5,p_home_6_10,p_home_11_15,p_home_16_20,p_home_21_30,p_home_31_plus,pick_winner,pick_margin,request_hash,model_version
202101,2,268101,2021-10-01T18:35:00+00:00,connacht-rugby,vodacom-bulls,34,7,ok,elo,0.013273,0.039775,0.04122,0.061059,0.082664,0.102285,0.022332,0.117284,0.119064,0.110473,0.093683,0.124044,0.072844,home,5,,
202101,2,268101,2021-10-01T18:35:00+00:00,connacht-rugby,vodacom-bulls,34,7,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,2,268101,2021-10-01T18:35:00+00:00,connacht-rugby,vodacom-bulls,34,7,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,2,268102,2021-10-01T18:35:00+00:00,scarlets,10bet-lions,36,13,ok,elo,0.02507,0.06238,0.058136,0.079694,0.099846,0.114333,0.02384,0.119456,0.112226,0.096362,0.075623,0.089798,0.043237,home,1,,
202101,2,268102,2021-10-01T18:35:00+00:00,scarlets,10bet-lions,36,13,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,2,268102,2021-10-01T18:35:00+00:00,scarlets,10bet-lions,36,13,ok,table_position,0.105602,0.130704,0.089248,0.100586,0.105663,0.103457,0.019801,0.091925,0.0771,0.060273,0.043918,0.048708,0.023016,away,6,,
202101,2,268103,2021-10-02T12:00:00+00:00,benetton-rugby,edinburgh-rugby,28,27,ok,elo,0.014538,0.042479,0.043388,0.063589,0.085176,0.104276,0.022624,0.118047,0.118568,0.108846,0.091324,0.119113,0.068032,home,5,,
202101,2,268103,2021-10-02T12:00:00+00:00,benetton-rugby,edinburgh-rugby,28,27,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,2,268103,2021-10-02T12:00:00+00:00,benetton-rugby,edinburgh-rugby,28,27,ok,table_position,0.105602,0.130704,0.089248,0.100586,0.105663,0.103457,0.019801,0.091925,0.0771,0.060273,0.043918,0.048708,0.023016,away,6,,
202101,2,268104,2021-10-02T14:05:00+00:00,glasgow-warriors,hollywoodbets-sharks,35,24,ok,elo,0.012519,0.038122,0.039873,0.059464,0.081053,0.100974,0.022134,0.116725,0.119302,0.111446,0.095151,0.127202,0.076035,home,6,,
202101,2,268104,2021-10-02T14:05:00+00:00,glasgow-warriors,hollywoodbets-sharks,35,24,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,2,268104,2021-10-02T14:05:00+00:00,glasgow-warriors,hollywoodbets-sharks,35,24,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,2,268105,2021-10-02T16:15:00+00:00,zebre-parma,ulster-rugby,3,36,ok,elo,0.025959,0.063893,0.05918,0.080763,0.100735,0.114836,0.023881,0.119339,0.111616,0.095411,0.074542,0.087965,0.041881,home,1,,
202101,2,268105,2021-10-02T16:15:00+00:00,zebre-parma,ulster-rugby,3,36,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,2,268105,2021-10-02T16:15:00+00:00,zebre-parma,ulster-rugby,3,36,ok,table_position,0.105602,0.130704,0.089248,0.100586,0.105663,0.103457,0.019801,0.091925,0.0771,0.060273,0.043918,0.048708,0.023016,away,6,,
202101,2,268107,2021-10-02T18:35:00+00:00,ospreys,cardiff-rugby,18,14,ok,elo,0.015238,0.043942,0.044542,0.064918,0.086474,0.105278,0.022766,0.118388,0.118251,0.107952,0.090072,0.11656,0.06562,home,5,,
202101,2,268107,2021-10-02T18:35:00+00:00,ospreys,cardiff-rugby,18,14,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,2,268107,2021-10-02T18:35:00+00:00,ospreys,cardiff-rugby,18,14,ok,table_position,0.105602,0.130704,0.089248,0.100586,0.105663,0.103457,0.019801,0.091925,0.0771,0.060273,0.043918,0.048708,0.023016,away,6,,
202101,2,268108,2021-10-02T18:35:00+00:00,munster-rugby,dhl-stormers,34,18,ok,elo,0.008222,0.027963,0.031179,0.048749,0.069662,0.090982,0.020506,0.11131,0.119272,0.116808,0.104554,0.149486,0.101307,home,10,,
202101,2,268108,2021-10-02T18:35:00+00:00,munster-rugby,dhl-stormers,34,18,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
