season,round,model,points
202501,7,table_position,3.5
202501,8,elo,5.0
202501,8,home_by_7,2.5
202501,8,table_position,6.0
202501,9,elo,4.0
202501,9,home_by_7,7.0
202501,9,table_position,6.0
202501,10,elo,6.5
202501,10,home_by_7,4.5
202501,10,table_position,6.0
202501,11,elo,7.0
202501,11,home_by_7,7.0
202501,11,table_position,5.5
202501,12,elo,3.0
202501,12,home_by_7,9.0
202501,12,table_position,3.5
202501,13,elo,5.0
202501,13,home_by_7,7.5
202501,13,table_position,4.5
202501,14,elo,8.5
202501,14,home_by_7,8.5
202501,14,table_position,6.5
202501,15,elo,5.5
202501,15,home_by_7,4.0
202501,15,table_position,5.0
202501,16,elo,6.5
202501,16,home_by_7,7.5
202501,16,table_position,5.5
202501,17,elo,7.5
202501,17,home_by_7,6.5
202501,17,table_position,6.0
202501,18,elo,7.5
202501,18,home_by_7,6.0
202501,18,table_position,5.5
202501,19,elo,5.0
202501,19,home_by_7,4.0
202501,19,table_position,4.0
202501,20,elo,1.0
202501,20,home_by_7,1.5
202501,20,table_position,1.5
202501,21,elo,1.0
202501,21,home_by_7,1.0
202501,21,table_position,1.0
